Fecha,Region,Nuevo Confirmado,Nuevo Muerte,Nuevo Recuperado,Acum Confirmado,Acum Muerte,Acum Recuperado
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Arica y Parinacota,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Tarapacá,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Antofagasta,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Atacama,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Coquimbo,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Valparaíso,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Metropolitana,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),O’Higgins,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Maule,2,0,0,2,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Ñuble,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Biobío,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Araucanía,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Los Ríos,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Los Lagos,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Aysén,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),Magallanes,0,0,0,0,0,0
Tue Mar 03 2020 00:00:00 GMT-0300 (Chile Summer Time),No Informado,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Arica y Parinacota,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Tarapacá,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Antofagasta,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Atacama,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Coquimbo,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Valparaíso,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Metropolitana,1,0,0,1,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),O’Higgins,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Maule,0,0,0,2,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Ñuble,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Biobío,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Araucanía,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Los Ríos,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Los Lagos,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Aysén,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),Magallanes,0,0,0,0,0,0
Wed Mar 04 2020 00:00:00 GMT-0300 (Chile Summer Time),No Informado,0,0,0,0,0,0
Thu Mar 05 2020 00:00:00 GMT-0300 (Chile Summer Time),Arica y Parinacota,0,0,0,0,0,0
Thu Mar 05 2020 00:00:00 GMT-0300 (Chile Summer Time),Tarapacá,0,0,0,0,0,0
Thu Mar 05 2020 00:00:00 GMT-0300 (Chile Summer Time),Antofagasta,0,0,0,0,0,0
Thu Mar 05 2020 00:00:00 GMT-0300 (Chile Summer Time),Atacama,0,0,0,0,0,0
