Fecha,CUT,Comuna,Region,Casos Acumulados
Wed Mar 18 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,1
Thu Mar 19 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,1
Fri Mar 20 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,1
Sat Mar 21 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,1
Sun Mar 22 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,2
Mon Mar 23 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,2
Tue Mar 24 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,2
Wed Mar 25 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,2
Thu Mar 26 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,3
Fri Mar 27 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,3
Sat Mar 28 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,3
Sun Mar 29 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,6
Mon Mar 30 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,6
Tue Mar 31 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,6
Wed Apr 01 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,7
Thu Apr 02 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,11
Fri Apr 03 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,12
Sat Apr 04 2020 00:00:00 GMT-0300 (Chile Summer Time),15101,Arica,Arica y Parinacota,28
Sun Apr 05 2020 00:00:00 GMT-0400 (Chile Standard Time),15101,Arica,Arica y Parinacota,32
Mon Apr 06 2020 00:00:00 GMT-0400 (Chile Standard Time),15101,Arica,Arica y Parinacota,54
Tue Apr 07 2020 00:00:00 GMT-0400 (Chile Standard Time),15101,Arica,Arica y Parinacota,54
